current,interrupting_1,interrupting_2,outcome
A,B,C,no-agreement
A,B,D,current
A,B,E,current
A,C,B,no-agreement
A,C,D,interrupting_1
A,C,E,interrupting_1
A,D,B,current
A,D,C,interrupting_2
A,D,E,no-agreement
A,E,B,current
A,E,C,interrupting_2
A,E,D,no-agreement
B,A,C,interrupting_1
B,A,D,no-agreement
B,A,E,no-agreement
B,C,A,interrupting_2
B,C,D,interrupting_2
B,C,E,current
B,D,A,no-agreement
B,D,C,interrupting_1
B,D,E,no-agreement
B,E,A,no-agreement
B,E,C,current
B,E,D,no-agreement
C,A,B,current
C,A,D,current
C,A,E,current
C,B,A,current
C,B,D,current
C,B,E,current
C,D,A,current
C,D,B,current
C,D,E,current
C,E,A,current
C,E,B,current
C,E,D,current
D,A,B,current
D,A,C,interrupting_2
D,A,E,no-agreement
D,B,A,current
D,B,C,no-agreement
D,B,E,current
D,C,A,interrupting_1
D,C,B,no-agreement
D,C,E,interrupting_1
D,E,A,no-agreement
D,E,B,current
D,E,C,interrupting_2
E,A,B,interrupting_2
E,A,C,interrupting_2
E,A,D,no-agreement
E,B,A,interrupting_1
E,B,C,no-agreement
E,B,D,interrupting_1
E,C,A,interrupting_1
E,C,B,no-agreement
E,C,D,interrupting_1
E,D,A,no-agreement
E,D,B,interrupting_2
E,D,C,interrupting_2
